timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,IdleTime,Connect
1711791353569,486,HTTP Request,200,OK,Thread Group 1-22,text,true,,27996,185,55,55,https://api.github.com/users,16.json,430,0,123
1711791353532,529,HTTP Request,200,OK,Thread Group 1-18,text,true,,27997,185,55,55,https://api.github.com/users,17.json,465,0,134
1711791353429,637,HTTP Request,200,OK,Thread Group 1-8,text,true,,27999,185,54,54,https://api.github.com/users,18.json,434,0,112
1711791353389,684,HTTP Request,200,OK,Thread Group 1-4,text,true,,27996,185,54,54,https://api.github.com/users,19.json,477,0,136
1711791353560,538,HTTP Request,200,OK,Thread Group 1-21,text,true,,27996,185,55,55,https://api.github.com/users,20.json,477,0,143
1711791353611,507,HTTP Request,200,OK,Thread Group 1-26,text,true,,27999,185,56,56,https://api.github.com/users,21.json,444,0,113
1711791353452,670,HTTP Request,200,OK,Thread Group 1-10,text,true,,27996,185,56,56,https://api.github.com/users,22.json,469,0,134
1711791353480,642,HTTP Request,200,OK,Thread Group 1-13,text,true,,27997,185,56,56,https://api.github.com/users,23.json,437,0,115
1711791353640,487,HTTP Request,200,OK,Thread Group 1-29,text,true,,27999,185,54,54,https://api.github.com/users,24.json,434,0,108
1711791353631,514,HTTP Request,200,OK,Thread Group 1-28,text,true,,27999,185,55,55,https://api.github.com/users,25.json,453,0,130
1711791353620,548,HTTP Request,200,OK,Thread Group 1-27,text,true,,27999,185,56,56,https://api.github.com/users,26.json,477,0,138
1711791353701,484,HTTP Request,200,OK,Thread Group 1-35,text,true,,27999,185,57,57,https://api.github.com/users,27.json,421,0,104
1711791353659,527,HTTP Request,200,OK,Thread Group 1-31,text,true,,27999,185,57,57,https://api.github.com/users,28.json,459,0,131
1711791353651,536,HTTP Request,200,OK,Thread Group 1-30,text,true,,27999,185,57,57,https://api.github.com/users,29.json,471,0,139
1711791353669,531,HTTP Request,200,OK,Thread Group 1-32,text,true,,27996,185,56,56,https://api.github.com/users,30.json,464,0,130
1711791353741,484,HTTP Request,200,OK,Thread Group 1-39,text,true,,27999,185,57,57,https://api.github.com/users,31.json,427,0,107
1711791353679,546,HTTP Request,200,OK,Thread Group 1-33,text,true,,27999,185,57,57,https://api.github.com/users,32.json,478,0,143
1711791353720,506,HTTP Request,200,OK,Thread Group 1-37,text,true,,27999,185,57,57,https://api.github.com/users,33.json,448,0,109
1711791353590,670,HTTP Request,200,OK,Thread Group 1-24,text,true,,27999,185,57,57,https://api.github.com/users,34.json,460,0,132
1711791353600,664,HTTP Request,200,OK,Thread Group 1-25,text,true,,27999,185,57,57,https://api.github.com/users,35.json,450,0,127
1711791353780,486,HTTP Request,200,OK,Thread Group 1-43,text,true,,27997,185,57,57,https://api.github.com/users,37.json,425,0,110
1711791353760,506,HTTP Request,200,OK,Thread Group 1-41,text,true,,27999,185,57,57,https://api.github.com/users,38.json,438,0,116
1711791353579,687,HTTP Request,200,OK,Thread Group 1-23,text,true,,27996,185,57,57,https://api.github.com/users,36.json,476,0,148
1711791353750,526,HTTP Request,200,OK,Thread Group 1-40,text,true,,27996,185,54,54,https://api.github.com/users,39.json,462,0,138
1711791353802,490,HTTP Request,200,OK,Thread Group 1-45,text,true,,27997,185,55,55,https://api.github.com/users,40.json,433,0,114
1711791353770,525,HTTP Request,200,OK,Thread Group 1-42,text,true,,27999,185,54,54,https://api.github.com/users,41.json,462,0,123
1711791353812,502,HTTP Request,200,OK,Thread Group 1-46,text,true,,27999,185,55,55,https://api.github.com/users,42.json,448,0,112
1711791353690,624,HTTP Request,200,OK,Thread Group 1-34,text,true,,27996,185,55,55,https://api.github.com/users,43.json,422,0,112
1711791353789,538,HTTP Request,200,OK,Thread Group 1-44,text,true,,27996,185,54,54,https://api.github.com/users,44.json,471,0,135
1711791353711,637,HTTP Request,200,OK,Thread Group 1-36,text,true,,27999,185,55,55,https://api.github.com/users,45.json,428,0,111
1711791353831,527,HTTP Request,200,OK,Thread Group 1-48,text,true,,27997,185,55,55,https://api.github.com/users,46.json,461,0,131
1711791353822,536,HTTP Request,200,OK,Thread Group 1-47,text,true,,27999,185,55,55,https://api.github.com/users,47.json,470,0,132
1711791353841,536,HTTP Request,200,OK,Thread Group 1-49,text,true,,27996,185,55,55,https://api.github.com/users,49.json,466,0,134
1711791353871,506,HTTP Request,200,OK,Thread Group 1-52,text,true,,27996,185,55,55,https://api.github.com/users,48.json,445,0,121
1711791353903,476,HTTP Request,200,OK,Thread Group 1-55,text,true,,27999,185,54,54,https://api.github.com/users,50.json,424,0,106
1711791353883,500,HTTP Request,200,OK,Thread Group 1-53,text,true,,27996,185,54,54,https://api.github.com/users,51.json,439,0,121
1711791353731,652,HTTP Request,200,OK,Thread Group 1-38,text,true,,27999,185,54,54,https://api.github.com/users,52.json,454,0,125
1711791353860,537,HTTP Request,200,OK,Thread Group 1-51,text,true,,27996,185,52,52,https://api.github.com/users,53.json,474,0,136
1711791353921,501,HTTP Request,200,OK,Thread Group 1-57,text,true,,27999,185,54,54,https://api.github.com/users,54.json,444,0,125
1711791353892,533,HTTP Request,200,OK,Thread Group 1-54,text,true,,27999,185,53,53,https://api.github.com/users,55.json,470,0,144
1711791353952,490,HTTP Request,200,OK,Thread Group 1-60,text,true,,27999,185,53,53,https://api.github.com/users,56.json,425,0,107
1711791353911,531,HTTP Request,200,OK,Thread Group 1-56,text,true,,27999,185,53,53,https://api.github.com/users,57.json,466,0,130
1711791353960,486,HTTP Request,200,OK,Thread Group 1-61,text,true,,27999,185,53,53,https://api.github.com/users,58.json,430,0,112
1711791353932,523,HTTP Request,200,OK,Thread Group 1-58,text,true,,27999,185,52,52,https://api.github.com/users,59.json,463,0,125
1711791353940,526,HTTP Request,200,OK,Thread Group 1-59,text,true,,27999,185,52,52,https://api.github.com/users,60.json,462,0,132
1711791353989,497,HTTP Request,200,OK,Thread Group 1-64,text,true,,27996,185,53,53,https://api.github.com/users,61.json,441,0,117
1711791353971,534,HTTP Request,200,OK,Thread Group 1-62,text,true,,27996,185,54,54,https://api.github.com/users,62.json,479,0,121
1711791353983,530,HTTP Request,200,OK,Thread Group 1-63,text,true,,27999,185,54,54,https://api.github.com/users,63.json,467,0,135
1711791353851,674,HTTP Request,200,OK,Thread Group 1-50,text,true,,27999,185,54,54,https://api.github.com/users,64.json,471,0,124
1711791354010,524,HTTP Request,200,OK,Thread Group 1-66,text,true,,27999,185,54,54,https://api.github.com/users,65.json,456,0,130
1711791354041,506,HTTP Request,200,OK,Thread Group 1-69,text,true,,27999,185,54,54,https://api.github.com/users,66.json,444,0,131
